Event_ID,Lead_ID,Campaign_ID,Channel,Event_Type,Event_Date,Device
EVT000095,LEAD39977,CMP015,Google Ads,Lead,2025-04-26,Mobile
EVT000096,LEAD38045,CMP001,Social Media,Qualified Lead,2025-05-08,Mobile
EVT000097,LEAD49217,CMP018,Google Ads,Impression,2025-08-04,Mobile
EVT000098,LEAD48985,CMP007,Google Ads,Impression,2025-04-05,Desktop
EVT000099,LEAD40775,CMP007,Social Media,Qualified Lead,2025-07-01,Tablet
EVT000100,LEAD02569,CMP016,Email,Click,2025-10-31,Desktop
EVT000101,LEAD02028,CMP011,Social Media,Impression,2025-01-19,Tablet
EVT000102,LEAD02696,CMP005,Social Media,Click,2025-09-13,Desktop
EVT000103,LEAD48191,CMP014,Social Media,Qualified Lead,2025-05-08,Tablet
EVT000104,LEAD05259,CMP010,Social Media,Click,2025-02-03,Desktop
EVT000105,LEAD22003,CMP005,YouTube,Click,2025-10-27,Tablet
EVT000106,LEAD39505,CMP019,Google Ads,Click,2025-07-07,Desktop
EVT000107,LEAD33160,CMP018,Social Media,Impression,2025-02-27,Tablet
EVT000108,LEAD13987,CMP004,YouTube,Impression,2025-07-16,Desktop
EVT000109,LEAD12667,CMP009,Social Media,Impression,2025-07-29,Mobile
EVT000110,LEAD38661,CMP019,Google Ads,Qualified Lead,2025-02-28,Mobile
EVT000111,LEAD03562,CMP011,Google Ads,Click,2025-05-25,Mobile
EVT000112,LEAD26855,CMP003,Email,Customer,2025-01-17,Mobile
EVT000113,LEAD38953,CMP011,YouTube,Impression,2025-11-06,Desktop
EVT000114,LEAD22663,CMP007,YouTube,Click,2025-11-15,Mobile
EVT000115,LEAD08393,CMP017,Social Media,Impression,2025-04-21,Mobile
EVT000116,LEAD30536,CMP018,YouTube,Impression,2025-08-31,Mobile
EVT000117,LEAD13068,CMP015,Google Ads,Impression,2025-07-03,Desktop
EVT000118,LEAD48034,CMP017,Social Media,Impression,2025-01-29,Mobile
EVT000119,LEAD23600,CMP017,YouTube,Impression,2025-06-28,Mobile
EVT000120,LEAD35223,CMP010,LinkedIn,Click,2025-05-21,Mobile
EVT000121,LEAD11838,CMP015,YouTube,Impression,2025-08-09,Desktop
EVT000122,LEAD14040,CMP016,YouTube,Impression,2025-12-03,Mobile
EVT000123,LEAD30819,CMP015,YouTube,Click,2025-08-25,Mobile
EVT000124,LEAD19116,CMP009,Google Ads,Impression,2025-11-24,Desktop
EVT000125,LEAD10966,CMP019,Social Media,Impression,2025-10-18,Mobile
EVT000126,LEAD24539,CMP001,YouTube,Qualified Lead,2025-08-01,Mobile
EVT000127,LEAD42531,CMP002,LinkedIn,Impression,2025-02-04,Tablet
EVT000128,LEAD05057,CMP006,YouTube,Lead,2025-02-04,Desktop
EVT000129,LEAD32483,CMP009,Google Ads,Click,2025-07-06,Mobile
EVT000130,LEAD47717,CMP018,LinkedIn,Qualified Lead,2025-08-04,Mobile
EVT000131,LEAD08111,CMP001,Email,Click,2025-08-01,Mobile
EVT000132,LEAD13774,CMP010,Social Media,Impression,2025-10-21,Mobile
EVT000133,LEAD27267,CMP004,LinkedIn,Click,2025-05-04,Mobile
EVT000134,LEAD17413,CMP014,YouTube,Impression,2025-12-24,Mobile
EVT000135,LEAD33271,CMP006,Email,Click,2025-05-31,Mobile
EVT000136,LEAD06911,CMP020,Social Media,Impression,2025-06-19,Desktop
EVT000137,LEAD45454,CMP005,Social Media,Impression,2025-05-01,Desktop
EVT000138,LEAD25447,CMP015,Social Media,Lead,2025-11-13,Mobile
EVT000139,LEAD00207,CMP010,Email,Impression,2025-11-15,Mobile
EVT000140,LEAD21519,CMP003,Email,Click,2025-05-06,Desktop
EVT000141,LEAD22362,CMP017,Email,Impression,2025-05-08,Tablet
EVT000142,LEAD23420,CMP009,YouTube,Customer,2025-05-03,Mobile
EVT000143,LEAD48703,CMP009,Google Ads,Impression,2025-01-23,Desktop
EVT000144,LEAD41524,CMP015,LinkedIn,Click,2025-06-05,Mobile
EVT000145,LEAD45152,CMP018,Google Ads,Impression,2025-05-25,Mobile
EVT000146,LEAD22404,CMP003,Social Media,Lead,2025-01-20,Mobile
EVT000147,LEAD18142,CMP008,YouTube,Qualified Lead,2025-11-23,Desktop
EVT000148,LEAD14821,CMP003,Social Media,Click,2025-07-27,Desktop
EVT000149,LEAD40343,CMP019,Email,Click,2025-05-07,Mobile
EVT000150,LEAD06375,CMP013,Email,Click,2025-04-30,Mobile
EVT000151,LEAD01679,CMP016,Google Ads,Qualified Lead,2025-05-23,Mobile
EVT000152,LEAD33828,CMP007,Social Media,Click,2025-02-11,Desktop
EVT000153,LEAD16199,CMP020,LinkedIn,Impression,2025-06-05,Mobile
EVT000154,LEAD09915,CMP005,Google Ads,Impression,2025-05-18,Mobile
EVT000155,LEAD27891,CMP019,Email,Impression,2025-11-29,Desktop
EVT000156,LEAD22300,CMP002,Social Media,Click,2025-10-26,Mobile
EVT000157,LEAD43586,CMP003,Google Ads,Impression,2025-04-13,Desktop
EVT000158,LEAD43690,CMP003,Social Media,Lead,2025-09-27,Mobile
EVT000159,LEAD42558,CMP002,Social Media,Qualified Lead,2025-05-17,Mobile
EVT000160,LEAD49081,CMP016,Email,Impression,2025-09-07,Mobile
EVT000161,LEAD44021,CMP017,Google Ads,Impression,2025-03-12,Mobile
EVT000162,LEAD02694,CMP016,Social Media,Lead,2025-12-27,Mobile
EVT000163,LEAD29468,CMP016,Email,Impression,2025-06-12,Mobile
EVT000164,LEAD29724,CMP019,Email,Impression,2025-09-30,Mobile
EVT000165,LEAD46700,CMP017,Social Media,Impression,2025-12-26,Mobile
EVT000166,LEAD03628,CMP005,Email,Click,2025-01-29,Mobile
EVT000167,LEAD25940,CMP012,Social Media,Impression,2025-07-16,Mobile
EVT000168,LEAD48926,CMP012,Social Media,Click,2025-09-22,Desktop
EVT000169,LEAD42942,CMP007,Social Media,Click,2025-08-16,Desktop
EVT000170,LEAD21835,CMP007,Google Ads,Impression,2025-01-16,Mobile
EVT000171,LEAD18048,CMP004,Social Media,Qualified Lead,2025-10-26,Mobile
EVT000172,LEAD26106,CMP006,YouTube,Impression,2025-10-17,Mobile
EVT000173,LEAD10231,CMP016,Social Media,Click,2025-03-05,Mobile
EVT000174,LEAD15708,CMP008,Social Media,Qualified Lead,2025-11-14,Desktop
EVT000175,LEAD21977,CMP006,Google Ads,Lead,2025-08-17,Desktop
EVT000176,LEAD44263,CMP019,Google Ads,Impression,2025-05-31,Mobile
EVT000177,LEAD23777,CMP010,Social Media,Impression,2025-08-02,Mobile
EVT000178,LEAD30081,CMP016,Social Media,Impression,2025-12-14,Mobile
EVT000179,LEAD01307,CMP002,LinkedIn,Impression,2025-12-12,Tablet
EVT000180,LEAD06777,CMP014,Google Ads,Click,2025-11-19,Mobile
EVT000181,LEAD27252,CMP011,Google Ads,Impression,2025-02-11,Mobile
EVT000182,LEAD09475,CMP002,Email,Impression,2025-08-01,Mobile
EVT000183,LEAD40295,CMP003,Social Media,Impression,2025-01-31,Mobile
EVT000184,LEAD21960,CMP011,Social Media,Impression,2025-12-15,Mobile
EVT000185,LEAD05531,CMP004,Google Ads,Impression,2025-07-04,Desktop
EVT000186,LEAD29321,CMP014,Email,Impression,2025-02-13,Mobile
EVT000187,LEAD03749,CMP005,YouTube,Click,2025-09-07,Mobile
EVT000188,LEAD31969,CMP003,LinkedIn,Click,2025-12-23,Mobile
EVT000189,LEAD32563,CMP008,Social Media,Qualified Lead,2025-05-07,Mobile
EVT000190,LEAD13546,CMP010,Email,Click,2025-04-18,Mobile
EVT000191,LEAD00664,CMP012,Google Ads,Customer,2025-03-13,Tablet
EVT000192,LEAD34767,CMP008,YouTube,Impression,2025-06-09,Mobile
EVT000193,LEAD07995,CMP007,Social Media,Lead,2025-10-03,Mobile
EVT000194,LEAD28022,CMP002,YouTube,Click,2025-12-15,Mobile
EVT000195,LEAD30304,CMP012,YouTube,Impression,2025-02-06,Mobile
EVT000196,LEAD03305,CMP020,Google Ads,Impression,2025-10-07,Mobile
EVT000197,LEAD46577,CMP011,Email,Click,2025-08-06,Tablet
EVT000198,LEAD39354,CMP009,YouTube,Impression,2025-11-02,Mobile
EVT000199,LEAD17676,CMP005,Social Media,Qualified Lead,2025-04-12,Tablet
EVT000200,LEAD44418,CMP006,Email,Customer,2025-11-17,Mobile
EVT000201,LEAD23939,CMP007,Google Ads,Impression,2025-12-14,Mobile
EVT000202,LEAD23665,CMP014,Email,Impression,2025-02-14,Mobile
EVT000203,LEAD01637,CMP018,Email,Impression,2025-03-14,Mobile
EVT000204,LEAD20081,CMP015,Google Ads,Qualified Lead,2025-10-25,Desktop
EVT000205,LEAD27729,CMP001,LinkedIn,Customer,2025-11-03,Desktop
EVT000206,LEAD49851,CMP016,Social Media,Impression,2025-05-09,Mobile
EVT000207,LEAD26737,CMP015,Email,Impression,2025-06-10,Mobile
EVT000208,LEAD28674,CMP009,Google Ads,Impression,2025-12-15,Desktop
EVT000209,LEAD37506,CMP007,Google Ads,Impression,2025-12-10,Mobile
EVT000210,LEAD47324,CMP012,LinkedIn,Click,2025-08-09,Mobile
EVT000211,LEAD46646,CMP009,Email,Impression,2025-12-26,Mobile
EVT000212,LEAD00855,CMP012,Google Ads,Impression,2025-09-04,Mobile
EVT000213,LEAD24549,CMP011,Social Media,Impression,2025-05-05,Mobile
EVT000214,LEAD38624,CMP003,Google Ads,Impression,2025-03-26,Desktop
EVT000215,LEAD07393,CMP013,YouTube,Click,2025-09-30,Mobile
EVT000216,LEAD46718,CMP005,Social Media,Impression,2025-07-29,Desktop
EVT000217,LEAD21557,CMP018,Google Ads,Impression,2025-11-25,Mobile
EVT000218,LEAD38560,CMP011,Google Ads,Impression,2025-04-22,Tablet
EVT000219,LEAD26310,CMP003,Google Ads,Impression,2025-12-15,Mobile
EVT000220,LEAD21920,CMP009,Google Ads,Qualified Lead,2025-01-29,Mobile
EVT000221,LEAD04932,CMP008,LinkedIn,Impression,2025-10-10,Mobile
EVT000222,LEAD32971,CMP008,LinkedIn,Click,2025-09-08,Mobile
EVT000223,LEAD44216,CMP013,YouTube,Impression,2025-02-07,Desktop
EVT000224,LEAD12689,CMP011,Social Media,Impression,2025-09-03,Mobile
EVT000225,LEAD25343,CMP006,Google Ads,Click,2025-12-24,Mobile
EVT000226,LEAD37158,CMP013,Social Media,Impression,2025-08-21,Desktop
EVT000227,LEAD02328,CMP011,YouTube,Qualified Lead,2025-12-10,Mobile
EVT000228,LEAD40773,CMP014,Google Ads,Qualified Lead,2025-09-10,Mobile
EVT000229,LEAD40546,CMP014,Google Ads,Click,2025-09-20,Desktop
EVT000230,LEAD00198,CMP019,Google Ads,Impression,2025-11-11,Desktop
EVT000231,LEAD23510,CMP005,Google Ads,Customer,2025-12-07,Mobile
EVT000232,LEAD34699,CMP015,Social Media,Impression,2025-05-22,Desktop
EVT000233,LEAD44543,CMP013,Social Media,Click,2025-01-02,Desktop
EVT000234,LEAD15088,CMP016,Social Media,Impression,2025-03-22,Desktop
EVT000235,LEAD22672,CMP019,Google Ads,Click,2025-03-02,Tablet
EVT000236,LEAD25185,CMP017,Google Ads,Impression,2025-07-07,Tablet
EVT000237,LEAD27849,CMP016,Social Media,Click,2025-03-12,Mobile
EVT000238,LEAD42108,CMP014,YouTube,Impression,2025-08-04,Mobile
EVT000239,LEAD20667,CMP017,Google Ads,Impression,2025-12-27,Mobile
EVT000240,LEAD44358,CMP007,Google Ads,Impression,2025-11-21,Mobile
EVT000241,LEAD15709,CMP006,Google Ads,Impression,2025-01-31,Tablet
EVT000242,LEAD26371,CMP005,Social Media,Impression,2025-09-16,Desktop
EVT000243,LEAD49812,CMP001,Google Ads,Customer,2025-02-17,Mobile
EVT000244,LEAD02812,CMP016,Social Media,Impression,2025-09-14,Mobile
EVT000245,LEAD47012,CMP014,Social Media,Impression,2025-07-30,Desktop
EVT000246,LEAD06547,CMP002,Google Ads,Impression,2025-12-06,Mobile
EVT000247,LEAD34755,CMP004,LinkedIn,Impression,2025-06-20,Mobile
EVT000248,LEAD30207,CMP001,Email,Lead,2025-08-31,Mobile
EVT000249,LEAD41107,CMP002,Email,Customer,2025-09-18,Tablet
EVT000250,LEAD11412,CMP009,Email,Impression,2025-03-19,Mobile
EVT000251,LEAD02912,CMP001,Social Media,Lead,2025-04-03,Desktop
EVT000252,LEAD01735,CMP020,LinkedIn,Click,2025-01-26,Mobile
EVT000253,LEAD18228,CMP016,Social Media,Click,2025-05-05,Mobile
EVT000254,LEAD08681,CMP014,LinkedIn,Click,2025-05-28,Tablet
EVT000255,LEAD19361,CMP013,Email,Customer,2025-04-11,Desktop
EVT000256,LEAD18344,CMP019,Social Media,Impression,2025-09-18,Mobile
EVT000257,LEAD05760,CMP015,Email,Impression,2025-06-12,Desktop
EVT000258,LEAD23079,CMP018,YouTube,Impression,2025-06-24,Mobile
EVT000259,LEAD35154,CMP003,LinkedIn,Lead,2025-02-05,Mobile
EVT000260,LEAD11112,CMP015,Email,Impression,2025-10-16,Mobile
EVT000261,LEAD37505,CMP015,Email,Click,2025-05-26,Tablet
EVT000262,LEAD01803,CMP005,LinkedIn,Qualified Lead,2025-04-25,Mobile
EVT000263,LEAD08156,CMP013,Social Media,Impression,2025-03-04,Desktop
EVT000264,LEAD08121,CMP020,YouTube,Click,2025-12-06,Mobile
EVT000265,LEAD39385,CMP016,Social Media,Impression,2025-11-19,Mobile
EVT000266,LEAD47026,CMP020,YouTube,Lead,2025-04-08,Mobile
EVT000267,LEAD47255,CMP015,Email,Impression,2025-10-14,Desktop
EVT000268,LEAD21919,CMP014,Google Ads,Impression,2025-04-24,Mobile
EVT000269,LEAD20446,CMP009,Google Ads,Impression,2025-07-17,Desktop
EVT000270,LEAD30307,CMP018,Social Media,Click,2025-12-23,Desktop
EVT000271,LEAD16647,CMP017,Google Ads,Click,2025-06-04,Mobile
EVT000272,LEAD46844,CMP005,Social Media,Qualified Lead,2025-01-25,Mobile
EVT000273,LEAD31066,CMP015,Email,Qualified Lead,2025-10-29,Desktop
EVT000274,LEAD25200,CMP011,YouTube,Impression,2025-06-18,Desktop
EVT000275,LEAD41977,CMP012,Google Ads,Impression,2025-03-02,Mobile
EVT000276,LEAD16372,CMP007,Social Media,Customer,2025-04-03,Mobile
EVT000277,LEAD11836,CMP020,Email,Impression,2025-01-29,Mobile
EVT000278,LEAD45937,CMP009,Social Media,Impression,2025-11-17,Desktop
EVT000279,LEAD02050,CMP003,Google Ads,Qualified Lead,2025-01-24,Mobile
EVT000280,LEAD31617,CMP017,Email,Lead,2025-09-23,Mobile
EVT000281,LEAD38192,CMP009,Social Media,Click,2025-05-30,Desktop
EVT000282,LEAD47358,CMP011,Google Ads,Click,2025-11-03,Mobile
EVT000283,LEAD20933,CMP014,Social Media,Impression,2025-07-12,Desktop
EVT000284,LEAD29856,CMP010,Email,Impression,2025-03-11,Desktop
EVT000285,LEAD07159,CMP004,Social Media,Qualified Lead,2025-04-12,Desktop
EVT000286,LEAD43017,CMP016,Google Ads,Click,2025-05-05,Desktop
EVT000287,LEAD07401,CMP016,Google Ads,Click,2025-11-11,Mobile
EVT000288,LEAD42643,CMP012,Social Media,Impression,2025-03-28,Desktop
EVT000289,LEAD15152,CMP006,Google Ads,Impression,2025-04-29,Mobile
EVT000290,LEAD01155,CMP007,YouTube,Impression,2025-07-29,Desktop
EVT000291,LEAD04500,CMP008,Social Media,Lead,2025-04-19,Mobile
EVT000292,LEAD06296,CMP006,YouTube,Impression,2025-12-21,Mobile
EVT000293,LEAD12184,CMP007,Email,Lead,2025-04-12,Mobile
EVT000294,LEAD29300,CMP009,LinkedIn,Lead,2025-09-28,Mobile
EVT000295,LEAD12875,CMP016,Social Media,Click,2025-11-16,Desktop
EVT000296,LEAD32712,CMP013,YouTube,Impression,2025-05-28,Desktop
EVT000297,LEAD05540,CMP015,Google Ads,Impression,2025-05-04,Mobile
EVT000298,LEAD42406,CMP018,Email,Click,2025-12-19,Mobile
EVT000299,LEAD48355,CMP004,Social Media,Click,2025-09-25,Mobile
EVT000300,LEAD02558,CMP005,Social Media,Click,2025-11-28,Desktop
EVT000301,LEAD38361,CMP008,Google Ads,Impression,2025-08-04,Tablet
EVT000302,LEAD16483,CMP004,Email,Click,2025-09-12,Desktop
EVT000303,LEAD02201,CMP017,Social Media,Click,2025-06-09,Mobile
EVT000304,LEAD46941,CMP017,YouTube,Impression,2025-03-03,Mobile
EVT000305,LEAD02962,CMP002,Google Ads,Impression,2025-07-21,Desktop
EVT000306,LEAD46976,CMP016,Google Ads,Impression,2025-11-14,Mobile
EVT000307,LEAD21358,CMP019,Google Ads,Impression,2025-08-28,Mobile
EVT000308,LEAD11970,CMP007,Social Media,Click,2025-06-13,Desktop
EVT000309,LEAD02870,CMP011,YouTube,Impression,2025-05-19,Mobile
EVT000310,LEAD46761,CMP001,Social Media,Impression,2025-09-20,Desktop
EVT000311,LEAD28644,CMP018,Email,Impression,2025-05-17,Tablet
EVT000312,LEAD24737,CMP007,Social Media,Impression,2025-10-22,Mobile
EVT000313,LEAD38468,CMP013,Email,Impression,2025-12-12,Mobile
EVT000314,LEAD23329,CMP003,Google Ads,Click,2025-01-02,Mobile
EVT000315,LEAD25877,CMP009,Email,Click,2025-08-28,Mobile
EVT000316,LEAD21296,CMP017,YouTube,Qualified Lead,2025-08-17,Tablet
EVT000317,LEAD03988,CMP002,LinkedIn,Impression,2025-06-20,Mobile
EVT000318,LEAD22400,CMP015,Email,Impression,2025-09-04,Desktop
EVT000319,LEAD46215,CMP009,Social Media,Impression,2025-02-23,Desktop
EVT000320,LEAD33987,CMP007,Social Media,Lead,2025-11-13,Mobile
EVT000321,LEAD20881,CMP019,Social Media,Impression,2025-10-28,Desktop
EVT000322,LEAD04736,CMP011,Social Media,Impression,2025-03-19,Mobile
EVT000323,LEAD44065,CMP018,Google Ads,Lead,2025-09-25,Mobile
EVT000324,LEAD04556,CMP017,LinkedIn,Qualified Lead,2025-06-02,Desktop
EVT000325,LEAD41915,CMP004,Google Ads,Qualified Lead,2025-11-29,Mobile
EVT000326,LEAD40819,CMP002,Google Ads,Impression,2025-04-29,Mobile
EVT000327,LEAD45526,CMP017,Social Media,Click,2025-06-13,Mobile
EVT000328,LEAD19831,CMP020,Social Media,Click,2025-03-22,Mobile
EVT000329,LEAD17430,CMP001,YouTube,Impression,2025-11-30,Mobile
EVT000330,LEAD06894,CMP013,Social Media,Customer,2025-12-04,Desktop
EVT000331,LEAD14374,CMP010,Email,Impression,2025-02-13,Desktop
EVT000332,LEAD47334,CMP017,Social Media,Click,2025-06-22,Tablet
EVT000333,LEAD03437,CMP017,Social Media,Impression,2025-04-22,Mobile
EVT000334,LEAD08755,CMP011,Google Ads,Impression,2025-07-07,Desktop
EVT000335,LEAD10678,CMP009,YouTube,Impression,2025-07-12,Mobile
EVT000336,LEAD05896,CMP003,Google Ads,Click,2025-06-08,Tablet
EVT000337,LEAD19739,CMP010,Google Ads,Qualified Lead,2025-07-05,Desktop
EVT000338,LEAD30747,CMP017,YouTube,Lead,2025-08-06,Mobile
EVT000339,LEAD49378,CMP016,Google Ads,Impression,2025-02-17,Desktop
EVT000340,LEAD48405,CMP016,Google Ads,Impression,2025-08-03,Mobile
EVT000341,LEAD32353,CMP015,Google Ads,Impression,2025-09-28,Tablet
EVT000342,LEAD39791,CMP013,LinkedIn,Click,2025-10-13,Tablet
EVT000343,LEAD41920,CMP002,Email,Impression,2025-11-30,Mobile
EVT000344,LEAD05601,CMP006,Email,Lead,2025-12-12,Desktop
EVT000345,LEAD29125,CMP003,Google Ads,Click,2025-09-11,Desktop
EVT000346,LEAD27644,CMP001,Email,Impression,2025-12-18,Mobile
EVT000347,LEAD40765,CMP017,YouTube,Impression,2025-04-25,Desktop
EVT000348,LEAD09008,CMP001,Email,Impression,2025-12-08,Mobile
EVT000349,LEAD45715,CMP011,Google Ads,Impression,2025-02-28,Desktop
EVT000350,LEAD37411,CMP004,Social Media,Click,2025-07-17,Desktop
EVT000351,LEAD44081,CMP011,Email,Lead,2025-06-25,Mobile
EVT000352,LEAD40448,CMP013,Google Ads,Impression,2025-10-28,Mobile
EVT000353,LEAD08209,CMP017,Social Media,Impression,2025-02-06,Desktop
EVT000354,LEAD18590,CMP020,Email,Lead,2025-03-12,Mobile
