Customer_ID,First_Touch,Second_Touch,Third_Touch,Last_Touch,Converted,Revenue
CUST000086,Google Ads,Google Ads,LinkedIn,Social Media,1,9427
CUST000087,Google Ads,YouTube,YouTube,LinkedIn,0,0
CUST000088,Google Ads,LinkedIn,Email,Email,0,0
CUST000089,YouTube,YouTube,LinkedIn,Email,0,0
CUST000090,Email,LinkedIn,Email,LinkedIn,1,6164
CUST000091,Email,LinkedIn,Google Ads,Social Media,1,9019
CUST000092,Google Ads,Google Ads,YouTube,YouTube,0,0
CUST000093,Email,Google Ads,Social Media,YouTube,1,929
CUST000094,Email,YouTube,YouTube,Social Media,0,0
CUST000095,Google Ads,Google Ads,Social Media,YouTube,1,9645
CUST000096,Email,Google Ads,Google Ads,Social Media,0,0
CUST000097,LinkedIn,Email,Email,Email,1,5007
CUST000098,Social Media,YouTube,Google Ads,Email,0,0
CUST000099,Social Media,YouTube,YouTube,LinkedIn,0,0
CUST000100,Google Ads,YouTube,Social Media,Social Media,0,0
CUST000101,YouTube,Google Ads,Social Media,YouTube,1,3882
CUST000102,Google Ads,Google Ads,YouTube,Social Media,0,0
CUST000103,YouTube,LinkedIn,YouTube,Google Ads,0,0
CUST000104,Social Media,Social Media,Google Ads,LinkedIn,0,0
CUST000105,Google Ads,Social Media,LinkedIn,Google Ads,0,0
CUST000106,LinkedIn,Social Media,Social Media,LinkedIn,0,0
CUST000107,Email,Email,YouTube,LinkedIn,0,0
CUST000108,YouTube,Google Ads,Google Ads,LinkedIn,0,0
CUST000109,Email,LinkedIn,LinkedIn,Google Ads,0,0
CUST000110,Email,LinkedIn,Email,LinkedIn,0,0
CUST000111,Google Ads,Social Media,YouTube,Social Media,0,0
CUST000112,Email,Email,LinkedIn,Social Media,0,0
CUST000113,LinkedIn,Email,Email,Google Ads,0,0
CUST000114,Email,Social Media,Email,Email,0,0
CUST000115,Google Ads,Social Media,Google Ads,Email,1,1209
CUST000116,LinkedIn,Google Ads,Social Media,Google Ads,0,0
CUST000117,Social Media,Email,YouTube,LinkedIn,0,0
CUST000118,Email,LinkedIn,LinkedIn,LinkedIn,1,592
CUST000119,Google Ads,Social Media,Email,LinkedIn,0,0
CUST000120,Social Media,Google Ads,Social Media,Google Ads,0,0
CUST000121,Social Media,LinkedIn,Email,LinkedIn,0,0
CUST000122,YouTube,Email,YouTube,Social Media,0,0
CUST000123,LinkedIn,Social Media,YouTube,LinkedIn,1,6526
CUST000124,Email,Social Media,Google Ads,Google Ads,1,5835
CUST000125,Google Ads,Google Ads,YouTube,LinkedIn,1,5650
CUST000126,YouTube,Google Ads,YouTube,Social Media,0,0
CUST000127,LinkedIn,Email,YouTube,Google Ads,0,0
CUST000128,YouTube,Social Media,Social Media,Email,0,0
CUST000129,LinkedIn,Google Ads,LinkedIn,Google Ads,1,5008
CUST000130,LinkedIn,Social Media,LinkedIn,YouTube,1,1400
CUST000131,Email,Email,YouTube,Email,0,0
CUST000132,LinkedIn,Social Media,LinkedIn,Email,0,0
CUST000133,YouTube,LinkedIn,YouTube,Google Ads,0,0
CUST000134,LinkedIn,Social Media,LinkedIn,YouTube,0,0
CUST000135,Email,YouTube,LinkedIn,Email,0,0
CUST000136,Email,YouTube,Email,LinkedIn,1,3203
CUST000137,YouTube,Email,Social Media,YouTube,1,8617
CUST000138,Social Media,Email,Email,YouTube,0,0
CUST000139,Social Media,Email,Email,Google Ads,1,1768
CUST000140,LinkedIn,LinkedIn,LinkedIn,Google Ads,1,3235
CUST000141,Google Ads,LinkedIn,Google Ads,Google Ads,1,3268
CUST000142,LinkedIn,Social Media,Google Ads,YouTube,1,6949
CUST000143,YouTube,Google Ads,Social Media,Social Media,1,5662
CUST000144,YouTube,YouTube,YouTube,Google Ads,0,0
CUST000145,YouTube,YouTube,LinkedIn,Social Media,0,0
CUST000146,YouTube,YouTube,Social Media,Email,0,0
CUST000147,YouTube,Social Media,Email,LinkedIn,0,0
CUST000148,Email,Social Media,LinkedIn,LinkedIn,1,3746
CUST000149,Social Media,Email,Email,Social Media,1,7449
CUST000150,YouTube,Google Ads,Social Media,YouTube,0,0
CUST000151,Google Ads,Email,Google Ads,LinkedIn,1,7500
CUST000152,Google Ads,Social Media,Social Media,Social Media,0,0
CUST000153,Google Ads,LinkedIn,LinkedIn,Google Ads,0,0
CUST000154,Google Ads,Email,LinkedIn,Social Media,0,0
CUST000155,Email,Social Media,YouTube,Email,0,0
CUST000156,Google Ads,Social Media,Google Ads,Social Media,0,0
CUST000157,YouTube,LinkedIn,LinkedIn,Google Ads,0,0
CUST000158,LinkedIn,LinkedIn,Google Ads,Social Media,0,0
CUST000159,Google Ads,LinkedIn,LinkedIn,Google Ads,1,4852
CUST000160,Email,Google Ads,Google Ads,Google Ads,1,4736
CUST000161,Email,Social Media,Social Media,Email,0,0
CUST000162,Google Ads,LinkedIn,Google Ads,Email,1,9329
CUST000163,LinkedIn,Google Ads,Email,LinkedIn,0,0
CUST000164,Google Ads,YouTube,Social Media,Google Ads,0,0
CUST000165,Email,YouTube,LinkedIn,Google Ads,1,961
CUST000166,Social Media,YouTube,LinkedIn,Google Ads,1,6007
CUST000167,YouTube,Social Media,YouTube,LinkedIn,1,7297
CUST000168,Email,Google Ads,Email,YouTube,0,0
CUST000169,Google Ads,Google Ads,YouTube,Email,0,0
CUST000170,YouTube,YouTube,Social Media,Email,0,0
CUST000171,Google Ads,Email,YouTube,Google Ads,0,0
CUST000172,Google Ads,YouTube,Social Media,LinkedIn,0,0
CUST000173,Social Media,Social Media,YouTube,Google Ads,0,0
CUST000174,YouTube,YouTube,Google Ads,Email,0,0
CUST000175,YouTube,YouTube,Social Media,LinkedIn,1,2937
CUST000176,Social Media,Google Ads,Social Media,Social Media,0,0
CUST000177,Email,YouTube,Google Ads,Email,0,0
CUST000178,Google Ads,LinkedIn,Google Ads,Social Media,1,3412
CUST000179,LinkedIn,LinkedIn,Email,YouTube,1,3077
CUST000180,Google Ads,Email,Google Ads,Social Media,1,3334
CUST000181,Google Ads,Social Media,YouTube,LinkedIn,0,0
CUST000182,Email,Social Media,Google Ads,Social Media,0,0
CUST000183,Google Ads,Google Ads,Google Ads,YouTube,1,5828
CUST000184,Social Media,Social Media,Social Media,Email,0,0
CUST000185,Social Media,Email,Social Media,YouTube,0,0
CUST000186,YouTube,LinkedIn,Google Ads,LinkedIn,0,0
CUST000187,LinkedIn,Google Ads,Email,Social Media,0,0
CUST000188,Google Ads,LinkedIn,Social Media,Social Media,0,0
CUST000189,Google Ads,Email,YouTube,LinkedIn,1,6733
CUST000190,Email,Google Ads,YouTube,Google Ads,1,854
CUST000191,Social Media,YouTube,Google Ads,LinkedIn,0,0
CUST000192,LinkedIn,Social Media,Google Ads,LinkedIn,0,0
CUST000193,YouTube,Email,Email,YouTube,1,5939
CUST000194,Social Media,Google Ads,Google Ads,YouTube,0,0
CUST000195,YouTube,LinkedIn,LinkedIn,LinkedIn,0,0
CUST000196,Email,Google Ads,LinkedIn,Email,0,0
CUST000197,Email,YouTube,Google Ads,Social Media,0,0
CUST000198,Google Ads,Email,LinkedIn,LinkedIn,0,0
CUST000199,LinkedIn,Google Ads,YouTube,Google Ads,0,0
CUST000200,YouTube,Email,Google Ads,Social Media,0,0
CUST000201,Social Media,Email,YouTube,Email,1,659
CUST000202,Email,LinkedIn,YouTube,LinkedIn,1,4670
CUST000203,Google Ads,Social Media,LinkedIn,Email,1,1175
CUST000204,Google Ads,YouTube,Email,Social Media,0,0
CUST000205,YouTube,Google Ads,YouTube,Google Ads,0,0
CUST000206,Email,Social Media,LinkedIn,Social Media,1,3886
CUST000207,LinkedIn,LinkedIn,Email,Social Media,0,0
CUST000208,Email,Social Media,LinkedIn,LinkedIn,1,6930
CUST000209,YouTube,Email,LinkedIn,Social Media,0,0
CUST000210,YouTube,Email,Google Ads,LinkedIn,0,0
CUST000211,Email,YouTube,Social Media,LinkedIn,0,0
CUST000212,YouTube,Google Ads,Email,Email,0,0
CUST000213,Email,Google Ads,LinkedIn,Google Ads,1,3755
CUST000214,Social Media,LinkedIn,YouTube,LinkedIn,0,0
CUST000215,Email,YouTube,YouTube,YouTube,0,0
CUST000216,Email,Google Ads,Social Media,Email,1,7954
CUST000217,YouTube,Email,Email,LinkedIn,0,0
CUST000218,YouTube,YouTube,Google Ads,LinkedIn,0,0
CUST000219,Google Ads,Social Media,Email,Email,1,6127
CUST000220,Google Ads,YouTube,YouTube,Social Media,1,6018
CUST000221,Social Media,YouTube,YouTube,LinkedIn,0,0
CUST000222,Google Ads,Google Ads,Google Ads,Google Ads,0,0
CUST000223,Email,LinkedIn,Google Ads,LinkedIn,0,0
CUST000224,YouTube,LinkedIn,YouTube,Email,1,8988
CUST000225,Google Ads,Google Ads,LinkedIn,YouTube,0,0
CUST000226,Google Ads,Google Ads,LinkedIn,Email,1,638
CUST000227,Social Media,Google Ads,Google Ads,Email,0,0
CUST000228,Social Media,LinkedIn,LinkedIn,Google Ads,1,2242
CUST000229,Email,Google Ads,Google Ads,Social Media,0,0
CUST000230,YouTube,Social Media,Email,Google Ads,0,0
CUST000231,Social Media,Social Media,Email,Google Ads,0,0
CUST000232,Google Ads,Email,Email,LinkedIn,1,1980
CUST000233,YouTube,Social Media,Google Ads,YouTube,0,0
CUST000234,YouTube,YouTube,Google Ads,Email,1,7786
CUST000235,Google Ads,Email,LinkedIn,Google Ads,0,0
CUST000236,Social Media,Social Media,LinkedIn,Google Ads,0,0
CUST000237,Google Ads,YouTube,LinkedIn,Social Media,1,9133
CUST000238,YouTube,Social Media,Social Media,Social Media,0,0
CUST000239,LinkedIn,YouTube,Google Ads,YouTube,1,5885
CUST000240,LinkedIn,Google Ads,Email,Email,1,847
CUST000241,Email,YouTube,Email,Google Ads,1,3160
CUST000242,Google Ads,Google Ads,Social Media,LinkedIn,1,9504
CUST000243,Google Ads,YouTube,Social Media,Social Media,1,9224
CUST000244,Email,YouTube,Email,Google Ads,0,0
CUST000245,Email,Social Media,Google Ads,LinkedIn,0,0
CUST000246,Email,YouTube,Email,Google Ads,0,0
CUST000247,YouTube,Social Media,Email,YouTube,0,0
CUST000248,Google Ads,YouTube,Social Media,YouTube,1,3636
CUST000249,YouTube,LinkedIn,Social Media,LinkedIn,0,0
CUST000250,Email,Email,LinkedIn,Social Media,0,0
CUST000251,Google Ads,Social Media,Social Media,YouTube,0,0
CUST000252,YouTube,Social Media,Email,Social Media,1,8755
CUST000253,YouTube,Google Ads,LinkedIn,LinkedIn,0,0
CUST000254,Email,LinkedIn,Email,LinkedIn,1,8781
CUST000255,Google Ads,Google Ads,Google Ads,Google Ads,1,8687
CUST000256,Email,LinkedIn,Google Ads,LinkedIn,0,0
CUST000257,Google Ads,LinkedIn,Social Media,Google Ads,0,0
CUST000258,LinkedIn,YouTube,LinkedIn,Social Media,0,0
CUST000259,Social Media,Google Ads,YouTube,Google Ads,0,0
CUST000260,Social Media,Email,Google Ads,Social Media,1,2388
CUST000261,Social Media,LinkedIn,Google Ads,YouTube,0,0
CUST000262,Email,LinkedIn,Google Ads,Social Media,0,0
CUST000263,LinkedIn,Social Media,Google Ads,Email,0,0
CUST000264,Google Ads,YouTube,Social Media,Google Ads,1,7681
CUST000265,YouTube,Email,LinkedIn,YouTube,0,0
CUST000266,Google Ads,LinkedIn,Google Ads,Social Media,1,4532
CUST000267,YouTube,Social Media,Social Media,LinkedIn,1,7585
CUST000268,Google Ads,Google Ads,LinkedIn,Google Ads,0,0
CUST000269,LinkedIn,LinkedIn,LinkedIn,Social Media,1,5344
CUST000270,YouTube,Social Media,YouTube,YouTube,0,0
CUST000271,Email,Google Ads,Email,LinkedIn,0,0
CUST000272,Google Ads,YouTube,Google Ads,Google Ads,1,9942
CUST000273,Google Ads,Google Ads,Social Media,YouTube,0,0
CUST000274,YouTube,LinkedIn,LinkedIn,LinkedIn,0,0
CUST000275,Email,Email,YouTube,Email,0,0
CUST000276,Email,Google Ads,Email,LinkedIn,0,0
CUST000277,LinkedIn,Email,LinkedIn,Google Ads,0,0
CUST000278,Email,Email,LinkedIn,Email,0,0
CUST000279,Email,Google Ads,Google Ads,Social Media,0,0
CUST000280,Email,YouTube,Email,Email,0,0
CUST000281,Social Media,Google Ads,Email,Email,0,0
CUST000282,LinkedIn,Social Media,Social Media,Email,1,4022
CUST000283,Google Ads,Email,YouTube,LinkedIn,0,0
CUST000284,YouTube,LinkedIn,Social Media,Email,1,2755
CUST000285,Google Ads,Email,YouTube,Email,0,0
CUST000286,LinkedIn,LinkedIn,Social Media,Social Media,0,0
CUST000287,YouTube,Social Media,YouTube,Email,0,0
CUST000288,LinkedIn,Social Media,Google Ads,LinkedIn,0,0
CUST000289,Email,Social Media,YouTube,YouTube,0,0
CUST000290,YouTube,Google Ads,Social Media,YouTube,0,0
CUST000291,Email,Email,Email,LinkedIn,1,8756
CUST000292,Google Ads,LinkedIn,LinkedIn,LinkedIn,0,0
CUST000293,Google Ads,Social Media,YouTube,Email,0,0
CUST000294,YouTube,Social Media,YouTube,LinkedIn,0,0
CUST000295,YouTube,LinkedIn,Email,Email,1,2687
CUST000296,LinkedIn,Email,Google Ads,Google Ads,1,3005
CUST000297,LinkedIn,Email,Social Media,Social Media,0,0
CUST000298,Email,LinkedIn,Google Ads,Social Media,0,0
CUST000299,YouTube,YouTube,YouTube,Social Media,0,0
CUST000300,Google Ads,Email,YouTube,Google Ads,0,0
CUST000301,LinkedIn,LinkedIn,Google Ads,Social Media,1,9309
CUST000302,LinkedIn,LinkedIn,Social Media,Email,1,996
CUST000303,Google Ads,Social Media,YouTube,YouTube,0,0
CUST000304,LinkedIn,LinkedIn,YouTube,Social Media,0,0
CUST000305,Email,Google Ads,Google Ads,Social Media,0,0
CUST000306,YouTube,Social Media,LinkedIn,Email,0,0
CUST000307,Google Ads,Social Media,Email,Email,1,1655
CUST000308,YouTube,Email,YouTube,Social Media,0,0
CUST000309,LinkedIn,YouTube,Social Media,LinkedIn,1,527
CUST000310,LinkedIn,Email,LinkedIn,Google Ads,1,8768
CUST000311,Google Ads,Google Ads,Google Ads,YouTube,1,4758
CUST000312,Email,Social Media,Google Ads,YouTube,0,0
CUST000313,Social Media,Social Media,Social Media,Google Ads,0,0
CUST000314,Google Ads,LinkedIn,LinkedIn,Social Media,0,0
CUST000315,Social Media,YouTube,Social Media,Social Media,0,0
CUST000316,Social Media,YouTube,YouTube,Social Media,1,4241
CUST000317,Email,LinkedIn,LinkedIn,Social Media,0,0
CUST000318,Social Media,Google Ads,Email,Social Media,0,0
CUST000319,Social Media,YouTube,Email,YouTube,0,0
CUST000320,Email,Social Media,Social Media,Social Media,0,0
CUST000321,Social Media,Google Ads,Email,Email,0,0
CUST000322,Social Media,Email,Social Media,LinkedIn,0,0
CUST000323,Social Media,Email,YouTube,Social Media,1,2221
CUST000324,Google Ads,Google Ads,YouTube,Email,1,2998
CUST000325,Google Ads,Social Media,Social Media,YouTube,0,0
CUST000326,Google Ads,Email,YouTube,Email,0,0
CUST000327,Email,Social Media,Email,Google Ads,0,0
CUST000328,LinkedIn,LinkedIn,YouTube,Google Ads,0,0
CUST000329,Social Media,YouTube,Email,Email,0,0
CUST000330,Social Media,Google Ads,Email,Social Media,0,0
CUST000331,Email,YouTube,Google Ads,Social Media,0,0
CUST000332,Social Media,LinkedIn,YouTube,Social Media,1,6490
CUST000333,Google Ads,Email,YouTube,Email,0,0
CUST000334,LinkedIn,Social Media,Social Media,Google Ads,1,6625
CUST000335,YouTube,Social Media,Social Media,Google Ads,1,1663
CUST000336,Social Media,LinkedIn,LinkedIn,YouTube,0,0
CUST000337,Google Ads,Google Ads,Email,Google Ads,0,0
CUST000338,YouTube,YouTube,Google Ads,Google Ads,0,0
CUST000339,LinkedIn,Email,Email,LinkedIn,0,0
CUST000340,YouTube,Google Ads,YouTube,Google Ads,1,1327
CUST000341,Google Ads,LinkedIn,LinkedIn,Email,1,6611
CUST000342,YouTube,LinkedIn,Email,Social Media,0,0
CUST000343,Email,Social Media,LinkedIn,Email,1,5757
CUST000344,YouTube,Email,Email,Social Media,1,9930
CUST000345,Social Media,Google Ads,YouTube,Social Media,0,0
CUST000346,Social Media,Social Media,YouTube,YouTube,0,0
CUST000347,Email,Email,Email,Google Ads,0,0
CUST000348,Google Ads,YouTube,Google Ads,YouTube,1,1927
CUST000349,Social Media,YouTube,YouTube,Social Media,1,5648
CUST000350,LinkedIn,Social Media,Social Media,LinkedIn,0,0
CUST000351,Social Media,Google Ads,Google Ads,LinkedIn,1,3484
CUST000352,Social Media,Email,Email,YouTube,1,4546
CUST000353,Google Ads,YouTube,Google Ads,YouTube,1,8232
CUST000354,YouTube,YouTube,Social Media,Google Ads,0,0
CUST000355,Social Media,Google Ads,YouTube,YouTube,0,0
CUST000356,Email,Social Media,YouTube,YouTube,1,8941
CUST000357,YouTube,LinkedIn,YouTube,Email,0,0
CUST000358,LinkedIn,Email,Social Media,YouTube,1,795
CUST000359,Google Ads,YouTube,Google Ads,YouTube,1,3010
CUST000360,LinkedIn,LinkedIn,Email,Email,1,788
CUST000361,YouTube,Google Ads,Email,Social Media,0,0
CUST000362,YouTube,Social Media,Google Ads,Social Media,1,2074
CUST000363,YouTube,Email,YouTube,Email,0,0
CUST000364,LinkedIn,Google Ads,Email,Google Ads,0,0
CUST000365,YouTube,Social Media,YouTube,YouTube,1,9252
CUST000366,LinkedIn,Google Ads,LinkedIn,Google Ads,0,0
CUST000367,YouTube,YouTube,LinkedIn,LinkedIn,0,0
CUST000368,Email,YouTube,Email,Google Ads,1,6102
CUST000369,YouTube,LinkedIn,Google Ads,YouTube,1,8888
CUST000370,LinkedIn,Google Ads,Google Ads,Social Media,1,2685
CUST000371,Social Media,YouTube,Google Ads,YouTube,1,7234
CUST000372,YouTube,Social Media,YouTube,YouTube,0,0
CUST000373,Social Media,LinkedIn,LinkedIn,YouTube,0,0
CUST000374,Email,Email,YouTube,Google Ads,1,843
CUST000375,Google Ads,Google Ads,Social Media,Social Media,1,7959
CUST000376,Email,YouTube,Social Media,Social Media,1,6176
CUST000377,YouTube,Social Media,Email,Google Ads,0,0
CUST000378,Social Media,Google Ads,Social Media,Google Ads,1,3925
CUST000379,Social Media,Social Media,Google Ads,Google Ads,1,4443
CUST000380,LinkedIn,LinkedIn,Email,LinkedIn,0,0
CUST000381,Social Media,YouTube,LinkedIn,LinkedIn,0,0
CUST000382,LinkedIn,YouTube,LinkedIn,YouTube,1,2985
CUST000383,Google Ads,LinkedIn,Social Media,LinkedIn,0,0
CUST000384,YouTube,Social Media,Social Media,Google Ads,1,1662
CUST000385,LinkedIn,Google Ads,LinkedIn,Google Ads,0,0
CUST000386,Google Ads,Social Media,Social Media,Google Ads,0,0
CUST000387,Social Media,Google Ads,Social Media,Social Media,1,8251
CUST000388,Social Media,LinkedIn,YouTube,Social Media,0,0
CUST000389,Google Ads,Email,LinkedIn,LinkedIn,0,0
CUST000390,Social Media,Google Ads,LinkedIn,Email,1,2084
CUST000391,Google Ads,YouTube,Social Media,Email,1,859
CUST000392,LinkedIn,YouTube,Google Ads,Google Ads,0,0
CUST000393,LinkedIn,YouTube,YouTube,Social Media,1,7494
CUST000394,Google Ads,Social Media,Google Ads,YouTube,0,0
CUST000395,LinkedIn,Social Media,Social Media,LinkedIn,1,1131
CUST000396,LinkedIn,Social Media,LinkedIn,Social Media,1,9146
CUST000397,LinkedIn,YouTube,Google Ads,Google Ads,1,8165
CUST000398,Email,Google Ads,Email,Google Ads,1,1444
CUST000399,YouTube,YouTube,Google Ads,Email,1,3825
CUST000400,Social Media,Google Ads,LinkedIn,Google Ads,0,0
CUST000401,Email,Social Media,Social Media,Google Ads,0,0
CUST000402,LinkedIn,Email,Google Ads,YouTube,1,3634
CUST000403,Google Ads,Social Media,Social Media,LinkedIn,0,0
CUST000404,LinkedIn,LinkedIn,YouTube,YouTube,0,0
CUST000405,YouTube,Google Ads,Email,Email,1,5150
CUST000406,LinkedIn,Email,LinkedIn,Social Media,0,0
CUST000407,Google Ads,Social Media,LinkedIn,Email,1,7437
CUST000408,YouTube,Email,Social Media,Google Ads,1,2574
CUST000409,LinkedIn,YouTube,Email,LinkedIn,1,1771
CUST000410,YouTube,Google Ads,LinkedIn,Google Ads,1,3510
CUST000411,Social Media,LinkedIn,Google Ads,LinkedIn,0,0
CUST000412,Social Media,YouTube,LinkedIn,LinkedIn,0,0
CUST000413,LinkedIn,Email,Google Ads,LinkedIn,1,2304
CUST000414,YouTube,Social Media,LinkedIn,Social Media,0,0
CUST000415,Google Ads,Google Ads,Google Ads,Email,0,0
CUST000416,LinkedIn,LinkedIn,YouTube,Social Media,0,0
CUST000417,Social Media,Social Media,Social Media,Social Media,1,3161
CUST000418,Social Media,LinkedIn,YouTube,Social Media,0,0
CUST000419,LinkedIn,Google Ads,Google Ads,YouTube,0,0
CUST000420,YouTube,Email,Social Media,YouTube,1,2224
CUST000421,Social Media,LinkedIn,Email,YouTube,0,0
CUST000422,YouTube,Google Ads,Google Ads,Social Media,0,0
CUST000423,Social Media,LinkedIn,LinkedIn,Google Ads,0,0
CUST000424,Social Media,Social Media,LinkedIn,YouTube,0,0
CUST000425,Email,LinkedIn,Email,YouTube,1,8196
CUST000426,Social Media,Social Media,YouTube,Social Media,1,8822
CUST000427,Google Ads,Social Media,Google Ads,Email,0,0
CUST000428,LinkedIn,Google Ads,LinkedIn,Google Ads,0,0
CUST000429,LinkedIn,YouTube,Social Media,LinkedIn,0,0
CUST000430,YouTube,LinkedIn,Email,LinkedIn,1,6186
CUST000431,Social Media,Email,YouTube,Google Ads,1,5332
CUST000432,Google Ads,Social Media,YouTube,Social Media,0,0
CUST000433,YouTube,YouTube,Social Media,Email,1,2868
CUST000434,Email,Social Media,Social Media,Email,1,9178
CUST000435,YouTube,YouTube,Email,LinkedIn,0,0
CUST000436,YouTube,YouTube,Social Media,Email,0,0
CUST000437,Social Media,Email,LinkedIn,LinkedIn,1,6644
CUST000438,Email,YouTube,YouTube,YouTube,0,0
CUST000439,YouTube,Email,Social Media,Social Media,0,0
CUST000440,Google Ads,Google Ads,Google Ads,Email,1,6139
CUST000441,Google Ads,Social Media,Social Media,Social Media,1,4236
CUST000442,LinkedIn,Email,YouTube,YouTube,1,2864
CUST000443,Email,Social Media,LinkedIn,Google Ads,0,0
CUST000444,Email,LinkedIn,Social Media,Google Ads,1,5832
