Lead_ID,Customer_ID,Campaign_ID,Campaign_Name,Channel,Lead_Date,Conversion_Date,Country,City,Region,Device,Age_Group,Status,Revenue,Touch_1,Touch_2,Touch_3,Final_Touch
L000046,,C016,High Value Customer Campaign,Email,2026-03-18,,USA,Kolkata,North,Mobile,18-24,Lost,0.0,Google Ads,YouTube,Organic Search,Email
L000047,CUST000046,C020,Year End Mega Sale,Google Ads,2025-04-27,2025-05-16,Canada,Delhi,Central,Desktop,45-54,Customer,1001.4,Organic Search,Google Ads,Email,Google Ads
L000048,,C008,Meta Retargeting,Facebook Ads,2025-09-02,,UAE,Hyderabad,East,Desktop,45-54,Lost,0.0,Organic Search,Instagram,Organic Search,Facebook Ads
L000049,,C007,Google Display Remarketing,Google Ads,2025-03-20,,Canada,Bengaluru,South,Desktop,45-54,Qualified,0.0,Instagram,YouTube,YouTube,Google Ads
L000050,,C003,Instagram Product Launch,Instagram,2026-05-01,,India,Pune,West,Tablet,45-54,Lost,0.0,Email,Google Ads,Email,Instagram
L000051,,C017,Mobile App Acquisition,Google Ads,2025-01-23,,Canada,Chennai,Central,Desktop,45-54,Lost,0.0,Facebook Ads,LinkedIn,YouTube,Google Ads
L000052,,C001,Google Search Summer Sale,Google Ads,2025-07-16,,Canada,Hyderabad,Central,Mobile,25-34,Lost,0.0,YouTube,Instagram,Instagram,Google Ads
L000053,CUST000052,C016,High Value Customer Campaign,Email,2025-12-27,2026-02-09,India,New York,South,Mobile,35-44,Customer,557.77,YouTube,Instagram,Email,Email
L000054,,C012,B2B Webinar Leads,LinkedIn,2026-03-03,,India,Dubai,North,Mobile,25-34,Lost,0.0,LinkedIn,Google Ads,LinkedIn,LinkedIn
L000055,,C019,Enterprise ABM,LinkedIn,2025-08-05,,Canada,Pune,East,Mobile,25-34,Lost,0.0,Organic Search,Google Ads,Organic Search,LinkedIn
L000056,CUST000055,C014,Festival Performance Ads,Facebook Ads,2025-07-15,2025-08-11,USA,Bengaluru,West,Mobile,25-34,Customer,465.32,Email,Facebook Ads,Instagram,Facebook Ads
L000057,,C006,Email Retention Q3,Email,2026-07-21,,UAE,Ahmedabad,Central,Mobile,25-34,Lost,0.0,Google Ads,LinkedIn,Email,Email
L000058,,C006,Email Retention Q3,Email,2026-03-19,,UK,Chennai,West,Tablet,35-44,Qualified,0.0,YouTube,Organic Search,Google Ads,Email
L000059,,C013,YouTube Product Demo,YouTube,2026-04-04,,Germany,Bengaluru,Central,Mobile,25-34,Lost,0.0,Organic Search,Google Ads,Google Ads,YouTube
L000060,,C019,Enterprise ABM,LinkedIn,2026-04-04,,USA,Delhi,West,Mobile,55+,Qualified,0.0,Google Ads,Google Ads,YouTube,LinkedIn
L000061,,C008,Meta Retargeting,Facebook Ads,2026-04-29,,UK,Hyderabad,Central,Mobile,25-34,Qualified,0.0,YouTube,LinkedIn,Email,Facebook Ads
L000062,CUST000061,C002,Meta New Customer Push,Facebook Ads,2025-05-24,2025-06-19,Germany,Dubai,Central,Desktop,25-34,Customer,1574.44,YouTube,YouTube,LinkedIn,Facebook Ads
L000063,CUST000062,C001,Google Search Summer Sale,Google Ads,2025-11-10,2025-12-16,UAE,Toronto,North,Tablet,25-34,Customer,918.47,LinkedIn,Email,YouTube,Google Ads
L000064,CUST000063,C015,SEO Content Campaign,Organic Search,2025-09-14,2025-09-27,Australia,New York,East,Mobile,55+,Customer,228.04,Instagram,Instagram,Email,Organic Search
L000065,,C001,Google Search Summer Sale,Google Ads,2026-04-19,,Germany,Pune,Central,Mobile,25-34,Lost,0.0,LinkedIn,Instagram,Google Ads,Google Ads
L000066,,C005,LinkedIn B2B Leads,LinkedIn,2026-08-29,,UK,New York,South,Mobile,35-44,Lost,0.0,Organic Search,Facebook Ads,Facebook Ads,LinkedIn
L000067,CUST000066,C016,High Value Customer Campaign,Email,2026-05-14,2026-06-09,UK,Toronto,South,Mobile,35-44,Customer,1310.88,Instagram,YouTube,YouTube,Email
L000068,,C019,Enterprise ABM,LinkedIn,2025-08-07,,UK,Kolkata,East,Desktop,45-54,Qualified,0.0,YouTube,Organic Search,YouTube,LinkedIn
L000069,,C004,YouTube Brand Awareness,YouTube,2026-07-18,,India,Kolkata,West,Mobile,25-34,Lost,0.0,Instagram,LinkedIn,Facebook Ads,YouTube
L000070,,C003,Instagram Product Launch,Instagram,2026-06-15,,Australia,New York,Central,Mobile,25-34,Lost,0.0,Google Ads,Facebook Ads,Instagram,Instagram
L000071,,C017,Mobile App Acquisition,Google Ads,2025-12-24,,UK,Delhi,West,Desktop,35-44,Qualified,0.0,LinkedIn,Facebook Ads,YouTube,Google Ads
L000072,,C017,Mobile App Acquisition,Google Ads,2025-08-25,,UK,New York,East,Mobile,35-44,Lost,0.0,Facebook Ads,Organic Search,Facebook Ads,Google Ads
L000073,,C012,B2B Webinar Leads,LinkedIn,2025-10-02,,Canada,Hyderabad,North,Mobile,45-54,Lost,0.0,LinkedIn,Instagram,Organic Search,LinkedIn
L000074,,C014,Festival Performance Ads,Facebook Ads,2026-07-31,,Australia,Toronto,South,Desktop,35-44,Lost,0.0,LinkedIn,YouTube,Email,Facebook Ads
L000075,,C006,Email Retention Q3,Email,2025-08-05,,Canada,Mumbai,East,Desktop,25-34,Lost,0.0,Google Ads,Facebook Ads,Instagram,Email
L000076,,C003,Instagram Product Launch,Instagram,2026-07-13,,Canada,Bengaluru,North,Mobile,55+,Lost,0.0,Instagram,LinkedIn,Instagram,Instagram
L000077,,C009,Holiday Shopping Promo,Google Ads,2026-02-01,,Canada,Dubai,Central,Mobile,25-34,Qualified,0.0,Google Ads,Instagram,Instagram,Google Ads
L000078,,C005,LinkedIn B2B Leads,LinkedIn,2025-03-15,,Canada,Dubai,West,Desktop,45-54,Lost,0.0,Facebook Ads,Email,Organic Search,LinkedIn
L000079,,C017,Mobile App Acquisition,Google Ads,2025-11-24,,UAE,Kolkata,Central,Desktop,35-44,Qualified,0.0,Instagram,YouTube,Instagram,Google Ads
L000080,,C014,Festival Performance Ads,Facebook Ads,2026-02-12,,Canada,New York,South,Mobile,25-34,Lost,0.0,Email,LinkedIn,Organic Search,Facebook Ads
L000081,,C003,Instagram Product Launch,Instagram,2025-05-28,,UAE,Kolkata,West,Tablet,35-44,Lost,0.0,Google Ads,Facebook Ads,YouTube,Instagram
L000082,,C001,Google Search Summer Sale,Google Ads,2025-03-27,,Germany,Toronto,East,Mobile,45-54,Qualified,0.0,Email,Facebook Ads,Email,Google Ads
L000083,,C020,Year End Mega Sale,Google Ads,2026-06-05,,USA,Chennai,Central,Mobile,18-24,Lost,0.0,Google Ads,Google Ads,YouTube,Google Ads
L000084,CUST000083,C001,Google Search Summer Sale,Google Ads,2026-05-18,2026-06-23,USA,Toronto,Central,Mobile,35-44,Customer,1333.46,Email,Organic Search,Facebook Ads,Google Ads
L000085,,C003,Instagram Product Launch,Instagram,2025-08-20,,UAE,Toronto,South,Mobile,45-54,Lost,0.0,Email,Organic Search,Instagram,Instagram
L000086,,C018,Social Video Conversion,Instagram,2026-05-13,,Australia,Dubai,North,Mobile,25-34,Qualified,0.0,YouTube,Email,Organic Search,Instagram
L000087,,C010,Influencer Awareness,Instagram,2026-02-27,,Australia,Chennai,Central,Desktop,35-44,Lost,0.0,Email,Instagram,Facebook Ads,Instagram
L000088,CUST000087,C003,Instagram Product Launch,Instagram,2026-04-12,2026-05-24,Canada,Ahmedabad,South,Mobile,25-34,Customer,239.72,Instagram,Email,LinkedIn,Instagram
L000089,CUST000088,C008,Meta Retargeting,Facebook Ads,2025-09-04,2025-10-01,UK,Dubai,East,Mobile,25-34,Customer,912.34,YouTube,Facebook Ads,Google Ads,Facebook Ads
L000090,CUST000089,C014,Festival Performance Ads,Facebook Ads,2026-01-05,2026-02-19,USA,Pune,Central,Mobile,35-44,Customer,1594.76,LinkedIn,Instagram,LinkedIn,Facebook Ads
L000091,,C018,Social Video Conversion,Instagram,2026-05-28,,India,Hyderabad,Central,Desktop,18-24,Lost,0.0,LinkedIn,Facebook Ads,LinkedIn,Instagram
L000092,,C015,SEO Content Campaign,Organic Search,2025-04-15,,Germany,London,Central,Mobile,35-44,Lost,0.0,Google Ads,Google Ads,Facebook Ads,Organic Search
L000093,,C002,Meta New Customer Push,Facebook Ads,2025-08-22,,USA,Kolkata,East,Tablet,18-24,Lost,0.0,YouTube,Email,Organic Search,Facebook Ads
L000094,,C010,Influencer Awareness,Instagram,2026-04-03,,Germany,Toronto,West,Mobile,45-54,Lost,0.0,LinkedIn,Facebook Ads,Facebook Ads,Instagram
L000095,,C002,Meta New Customer Push,Facebook Ads,2025-09-14,,USA,Pune,West,Mobile,18-24,Qualified,0.0,Email,Instagram,Organic Search,Facebook Ads
L000096,,C017,Mobile App Acquisition,Google Ads,2026-04-20,,Australia,Chennai,East,Mobile,35-44,Lost,0.0,Instagram,Email,Organic Search,Google Ads
L000097,,C008,Meta Retargeting,Facebook Ads,2026-08-16,,Germany,New York,Central,Mobile,25-34,Lost,0.0,LinkedIn,YouTube,Organic Search,Facebook Ads
L000098,CUST000097,C001,Google Search Summer Sale,Google Ads,2025-06-21,2025-07-04,UK,Delhi,South,Mobile,35-44,Customer,1726.11,YouTube,YouTube,Organic Search,Google Ads
L000099,,C009,Holiday Shopping Promo,Google Ads,2025-09-30,,USA,Kolkata,North,Mobile,18-24,Qualified,0.0,LinkedIn,YouTube,Instagram,Google Ads
L000100,,C011,Cart Recovery Email,Email,2025-07-13,,India,Kolkata,South,Desktop,25-34,Qualified,0.0,YouTube,LinkedIn,Facebook Ads,Email
L000101,CUST000100,C016,High Value Customer Campaign,Email,2025-04-22,2025-06-01,Germany,Chennai,East,Desktop,35-44,Customer,712.43,LinkedIn,Instagram,Email,Email
L000102,,C007,Google Display Remarketing,Google Ads,2025-01-23,,UAE,New York,Central,Desktop,45-54,Lost,0.0,Organic Search,Email,Google Ads,Google Ads
L000103,CUST000102,C010,Influencer Awareness,Instagram,2025-11-11,2025-12-04,UK,Pune,South,Desktop,18-24,Customer,742.46,Email,Facebook Ads,Instagram,Instagram
L000104,,C003,Instagram Product Launch,Instagram,2025-07-21,,Canada,Ahmedabad,West,Mobile,35-44,Lost,0.0,Instagram,Google Ads,Organic Search,Instagram
L000105,,C018,Social Video Conversion,Instagram,2026-05-16,,UAE,Ahmedabad,Central,Mobile,35-44,Lost,0.0,LinkedIn,Email,Email,Instagram
L000106,,C013,YouTube Product Demo,YouTube,2026-08-29,,Canada,Ahmedabad,North,Mobile,18-24,Lost,0.0,Email,Instagram,Organic Search,YouTube
L000107,,C007,Google Display Remarketing,Google Ads,2025-01-25,,USA,Chennai,Central,Desktop,25-34,Lost,0.0,Facebook Ads,Organic Search,Google Ads,Google Ads
L000108,,C004,YouTube Brand Awareness,YouTube,2026-05-23,,USA,Toronto,North,Mobile,25-34,Lost,0.0,Google Ads,Email,Organic Search,YouTube
L000109,,C013,YouTube Product Demo,YouTube,2026-01-01,,Australia,Mumbai,South,Tablet,35-44,Qualified,0.0,YouTube,Facebook Ads,LinkedIn,YouTube
L000110,CUST000109,C020,Year End Mega Sale,Google Ads,2026-06-15,2026-07-20,Australia,Hyderabad,East,Mobile,25-34,Customer,1737.06,Facebook Ads,LinkedIn,Facebook Ads,Google Ads
L000111,,C001,Google Search Summer Sale,Google Ads,2026-08-17,,UAE,Hyderabad,East,Tablet,25-34,Qualified,0.0,Email,Google Ads,Google Ads,Google Ads
L000112,,C008,Meta Retargeting,Facebook Ads,2025-02-15,,UAE,London,East,Desktop,45-54,Lost,0.0,LinkedIn,Instagram,Email,Facebook Ads
L000113,,C014,Festival Performance Ads,Facebook Ads,2025-02-04,,UAE,Kolkata,Central,Mobile,35-44,Lost,0.0,YouTube,Instagram,YouTube,Facebook Ads
L000114,,C016,High Value Customer Campaign,Email,2025-07-21,,USA,Ahmedabad,Central,Desktop,45-54,Lost,0.0,Facebook Ads,Instagram,Facebook Ads,Email
L000115,,C014,Festival Performance Ads,Facebook Ads,2026-06-19,,Australia,Pune,South,Mobile,35-44,Qualified,0.0,Instagram,Facebook Ads,Facebook Ads,Facebook Ads
L000116,CUST000115,C012,B2B Webinar Leads,LinkedIn,2025-12-31,2026-01-30,USA,New York,Central,Desktop,35-44,Customer,1273.95,Organic Search,Google Ads,YouTube,LinkedIn
L000117,,C019,Enterprise ABM,LinkedIn,2026-04-15,,UK,Hyderabad,East,Desktop,45-54,Qualified,0.0,Facebook Ads,LinkedIn,Google Ads,LinkedIn
L000118,CUST000117,C015,SEO Content Campaign,Organic Search,2025-10-27,2025-11-22,USA,Toronto,South,Desktop,35-44,Customer,450.95,LinkedIn,Email,LinkedIn,Organic Search
L000119,,C002,Meta New Customer Push,Facebook Ads,2026-02-20,,UK,London,East,Mobile,18-24,Lost,0.0,LinkedIn,Organic Search,Organic Search,Facebook Ads
L000120,,C002,Meta New Customer Push,Facebook Ads,2025-12-12,,USA,Mumbai,West,Tablet,45-54,Lost,0.0,Organic Search,Email,YouTube,Facebook Ads
L000121,,C019,Enterprise ABM,LinkedIn,2025-12-15,,Germany,Mumbai,North,Mobile,45-54,Lost,0.0,YouTube,LinkedIn,LinkedIn,LinkedIn
L000122,,C017,Mobile App Acquisition,Google Ads,2025-07-09,,Australia,Delhi,North,Mobile,25-34,Qualified,0.0,Google Ads,Organic Search,Instagram,Google Ads
L000123,,C020,Year End Mega Sale,Google Ads,2026-02-07,,USA,Mumbai,South,Mobile,25-34,Qualified,0.0,YouTube,Email,Organic Search,Google Ads
L000124,,C010,Influencer Awareness,Instagram,2025-12-15,,USA,Mumbai,Central,Desktop,18-24,Lost,0.0,Organic Search,Google Ads,Organic Search,Instagram
L000125,,C006,Email Retention Q3,Email,2026-01-08,,India,Mumbai,South,Mobile,25-34,Qualified,0.0,LinkedIn,Instagram,Instagram,Email
L000126,,C015,SEO Content Campaign,Organic Search,2026-05-20,,Germany,Dubai,Central,Mobile,18-24,Qualified,0.0,YouTube,Facebook Ads,Facebook Ads,Organic Search
L000127,,C011,Cart Recovery Email,Email,2025-10-18,,UK,London,South,Desktop,18-24,Lost,0.0,YouTube,YouTube,Google Ads,Email
L000128,,C005,LinkedIn B2B Leads,LinkedIn,2025-04-21,,Australia,Chennai,Central,Desktop,25-34,Lost,0.0,Facebook Ads,Facebook Ads,Facebook Ads,LinkedIn
L000129,,C001,Google Search Summer Sale,Google Ads,2026-07-09,,Australia,Dubai,North,Desktop,45-54,Lost,0.0,LinkedIn,Instagram,LinkedIn,Google Ads
L000130,,C008,Meta Retargeting,Facebook Ads,2026-05-18,,UK,Toronto,North,Mobile,45-54,Lost,0.0,YouTube,Email,YouTube,Facebook Ads
L000131,,C012,B2B Webinar Leads,LinkedIn,2025-10-28,,Germany,Pune,North,Mobile,35-44,Lost,0.0,Facebook Ads,Organic Search,Facebook Ads,LinkedIn
L000132,,C012,B2B Webinar Leads,LinkedIn,2025-01-13,,Canada,Bengaluru,East,Mobile,45-54,Lost,0.0,YouTube,Organic Search,Email,LinkedIn
L000133,,C005,LinkedIn B2B Leads,LinkedIn,2026-06-07,,Australia,Hyderabad,South,Mobile,45-54,Qualified,0.0,Email,Facebook Ads,Facebook Ads,LinkedIn
L000134,,C007,Google Display Remarketing,Google Ads,2025-04-12,,India,Toronto,North,Mobile,25-34,Lost,0.0,Instagram,Organic Search,Email,Google Ads
L000135,,C004,YouTube Brand Awareness,YouTube,2025-07-16,,UK,Mumbai,South,Desktop,25-34,Lost,0.0,Facebook Ads,Facebook Ads,YouTube,YouTube
L000136,,C006,Email Retention Q3,Email,2026-01-26,,India,Chennai,Central,Mobile,18-24,Qualified,0.0,Facebook Ads,LinkedIn,LinkedIn,Email
L000137,,C013,YouTube Product Demo,YouTube,2025-02-24,,UK,Toronto,South,Desktop,35-44,Qualified,0.0,Email,LinkedIn,Google Ads,YouTube
L000138,,C020,Year End Mega Sale,Google Ads,2025-07-02,,Australia,Mumbai,South,Mobile,18-24,Qualified,0.0,Organic Search,LinkedIn,Google Ads,Google Ads
L000139,,C015,SEO Content Campaign,Organic Search,2025-01-19,,Australia,Ahmedabad,West,Mobile,55+,Qualified,0.0,LinkedIn,Organic Search,Organic Search,Organic Search
L000140,,C003,Instagram Product Launch,Instagram,2025-12-29,,UK,Toronto,North,Mobile,45-54,Lost,0.0,YouTube,Email,Google Ads,Instagram
L000141,,C008,Meta Retargeting,Facebook Ads,2026-04-18,,UK,Kolkata,Central,Desktop,35-44,Lost,0.0,Organic Search,Email,Google Ads,Facebook Ads
L000142,,C020,Year End Mega Sale,Google Ads,2025-01-09,,Australia,Chennai,South,Mobile,45-54,Qualified,0.0,YouTube,Google Ads,Google Ads,Google Ads
L000143,,C016,High Value Customer Campaign,Email,2025-01-25,,UAE,Toronto,East,Mobile,18-24,Lost,0.0,Email,Organic Search,Facebook Ads,Email
L000144,,C013,YouTube Product Demo,YouTube,2025-11-02,,USA,New York,North,Desktop,55+,Lost,0.0,LinkedIn,Google Ads,YouTube,YouTube
L000145,,C018,Social Video Conversion,Instagram,2026-08-07,,Australia,Hyderabad,South,Mobile,25-34,Lost,0.0,Facebook Ads,LinkedIn,LinkedIn,Instagram
L000146,,C010,Influencer Awareness,Instagram,2026-03-10,,Australia,New York,South,Mobile,25-34,Qualified,0.0,Instagram,Email,Organic Search,Instagram
L000147,,C019,Enterprise ABM,LinkedIn,2026-02-26,,India,Pune,South,Tablet,45-54,Lost,0.0,Facebook Ads,Instagram,Google Ads,LinkedIn
L000148,,C017,Mobile App Acquisition,Google Ads,2025-02-26,,Germany,London,North,Tablet,45-54,Lost,0.0,Organic Search,LinkedIn,Instagram,Google Ads
L000149,,C019,Enterprise ABM,LinkedIn,2026-06-18,,Canada,Dubai,North,Tablet,18-24,Qualified,0.0,LinkedIn,Instagram,Google Ads,LinkedIn
L000150,,C005,LinkedIn B2B Leads,LinkedIn,2026-07-02,,Germany,Bengaluru,Central,Mobile,35-44,Lost,0.0,Facebook Ads,Facebook Ads,LinkedIn,LinkedIn
L000151,,C009,Holiday Shopping Promo,Google Ads,2025-06-28,,UAE,Dubai,East,Mobile,25-34,Lost,0.0,LinkedIn,LinkedIn,Facebook Ads,Google Ads
L000152,,C012,B2B Webinar Leads,LinkedIn,2025-03-09,,India,Chennai,West,Mobile,25-34,Lost,0.0,Email,YouTube,Facebook Ads,LinkedIn
L000153,,C001,Google Search Summer Sale,Google Ads,2026-05-11,,Australia,Kolkata,East,Mobile,55+,Lost,0.0,Instagram,Email,LinkedIn,Google Ads
L000154,,C001,Google Search Summer Sale,Google Ads,2025-01-01,,USA,New York,Central,Desktop,35-44,Lost,0.0,Google Ads,Facebook Ads,Instagram,Google Ads
L000155,,C015,SEO Content Campaign,Organic Search,2025-02-17,,Australia,Chennai,South,Mobile,35-44,Lost,0.0,Instagram,LinkedIn,LinkedIn,Organic Search
L000156,,C002,Meta New Customer Push,Facebook Ads,2026-02-21,,Canada,Ahmedabad,South,Desktop,25-34,Lost,0.0,Google Ads,YouTube,Google Ads,Facebook Ads
L000157,,C016,High Value Customer Campaign,Email,2025-07-16,,India,London,West,Mobile,25-34,Lost,0.0,Organic Search,Google Ads,Google Ads,Email
L000158,,C008,Meta Retargeting,Facebook Ads,2026-07-24,,UK,Dubai,East,Desktop,55+,Lost,0.0,LinkedIn,Instagram,Google Ads,Facebook Ads
L000159,CUST000158,C013,YouTube Product Demo,YouTube,2025-02-17,2025-02-22,Australia,Pune,North,Tablet,35-44,Customer,905.5,LinkedIn,Instagram,Instagram,YouTube
L000160,,C001,Google Search Summer Sale,Google Ads,2025-12-21,,Canada,Chennai,West,Mobile,35-44,Lost,0.0,Google Ads,Email,Email,Google Ads
L000161,,C016,High Value Customer Campaign,Email,2025-08-22,,Germany,Kolkata,South,Mobile,25-34,Lost,0.0,LinkedIn,LinkedIn,Email,Email
L000162,CUST000161,C007,Google Display Remarketing,Google Ads,2026-03-13,2026-03-30,UAE,Chennai,North,Desktop,25-34,Customer,1756.59,Google Ads,Instagram,Email,Google Ads
